gouvernorat,variable,n,biais,mae,sigma,mae_sur_sigma
Ben Arous,cloud_cover_high,1872,0.0719482619240097,8.778496362166532,34.99019436104115,0.2508844698485214
Ben Arous,wind_direction_100m,1872,-7.430072756669361,28.91754244139046,111.17449517099321,0.2601095008069387
Ben Arous,vapour_pressure_deficit,1872,-0.0668795472918351,0.29507679870654807,1.0606487804037066,0.2782040616633107
Ben Arous,wind_direction_10m,1872,-5.570735650767987,34.69765561843169,105.755108694901,0.32809436864684194
Ben Arous,dew_point_2m,1872,0.40363783346806786,1.3194017784963619,3.759463976370388,0.35095476025020766
Ben Arous,relative_humidity_2m,1872,2.6362166531932094,6.521422797089733,18.57330678362368,0.3511180250810133
Ben Arous,wind_gusts_10m,1872,-3.696766370250606,4.928617623282134,12.55962149964671,0.392417687381803
Ben Arous,wind_speed_100m,1872,-0.3305578011317704,3.2054163298302347,7.507523556885881,0.4269605423868747
Ben Arous,wind_speed_10m,1872,-0.999434114793856,2.281568310428456,5.136668682347612,0.44417276089251495
Ben Arous,cloud_cover,1872,9.3589329021827,16.232012934519,35.94876456868214,0.4515318712415506
Ben Arous,cloud_cover_mid,1872,5.997574777687955,8.262732417138238,17.967827961440815,0.45986261861312155
Ben Arous,cloud_cover_low,1872,6.997574777687955,7.479385610347615,7.482759687028291,0.9995490865908035
Ben Arous,snowfall,1872,0.0,0.0,0.0,
Bizerte,soil_moisture_28_to_100cm,1872,0.0,0.0,0.024380398646445135,0.0
Bizerte,soil_moisture_0_to_7cm,1872,0.0,0.0,0.03771026783432581,0.0
Bizerte,terrestrial_radiation,1872,-2.476651362625349e-15,0.17873931623931563,495.14733993290594,0.0003609820791191878
Bizerte,soil_moisture_7_to_28cm,1872,-1.0212765957446818e-05,1.0212765957446818e-05,0.022354024875690763,0.00045686474870808844
Bizerte,soil_temperature_0_to_7cm,1872,-0.09999999999999998,0.09999999999999998,5.710887304705852,0.017510413822664397
Bizerte,soil_temperature_7_to_28cm,1872,-0.09999999999999996,0.09999999999999996,3.9102333996030283,0.02557392098644344
Bizerte,shortwave_radiation,1872,-2.88197251414713,9.683912691996767,347.9090421136864,0.02783461054407534
Bizerte,soil_temperature_28_to_100cm,1872,-0.10000000000000003,0.10000000000000003,3.183960526368769,0.03140742454933876
Bizerte,pressure_msl,1872,-0.0392886014551312,0.22198868229587623,4.043355194187809,0.0549020977961515
Bizerte,precipitation,1872,0.00032336297493936936,0.007922392886014552,0.131801801691672,0.0601083807985239
Bizerte,rain,1872,-0.002425222312045271,0.008730800323362976,0.131801801691672,0.06624188904327123
Bizerte,direct_radiation,1872,-2.4454324979789814,19.03556992724333,278.89571708877736,0.06825336052465795
Bizerte,direct_normal_irradiance,1872,-4.668148746968472,29.800242522231205,326.8205175780067,0.09118228789022824
Bizerte,et0_fao_evapotranspiration,1872,-0.010743734842360552,0.02249797898140663,0.23282148411004908,0.09663188544392398
Bizerte,diffuse_radiation,1872,-0.43654001616814875,11.330638641875506,84.98862595471623,0.13331947086558046
Bizerte,cloud_cover_high,1872,-0.4082457558609539,6.67178658043654,35.02337881919713,0.19049522934033933
Bizerte,temperature_2m,1872,-0.5430881164106709,0.8877930476960388,4.517587417026639,0.19651928468500154
Bizerte,wind_direction_100m,1872,0.36378334680679064,20.881164106709782,103.89736375119377,0.2009787674373967
Bizerte,apparent_temperature,1872,-0.7458367016976556,1.1862570735650768,5.819684672631611,0.203835283231705
Bizerte,wind_direction_10m,1872,8.609539207760712,23.649151172190784,105.94673561680605,0.2232173651647591
Bizerte,wind_gusts_10m,1872,-2.5857720291026682,4.021665319320938,14.26606525027911,0.2819043127005364
Bizerte,wind_speed_100m,1872,0.07809215844785768,3.236701697655618,9.940082364039926,0.32562121510833564
Bizerte,wind_speed_10m,1872,-0.32481810832659663,2.5091350040420375,7.3150766067943085,0.3430087118584008
Bizerte,cloud_cover_mid,1872,5.5157639450282945,6.506871463217462,18.46766135751719,0.3523386820480583
Bizerte,vapour_pressure_deficit,1872,-0.0587712206952304,0.2794664510913501,0.7486231013937853,0.3733072764800337
Bizerte,dew_point_2m,1872,-0.44575586095392083,1.48714632174616,3.650921755044116,0.4073344819541853
Bizerte,cloud_cover,1872,11.430072756669361,16.670169765561845,35.835071716563185,0.4651914721258055
Bizerte,relative_humidity_2m,1872,0.9280517380759903,7.04607922392886,14.606150581541772,0.4824049419860973
Bizerte,cloud_cover_low,1872,9.555375909458368,10.902182700080841,9.573456571022046,1.1387927254071142
Bizerte,surface_pressure,1872,-8.477526273241711,8.477526273241711,4.043305286734883,2.09668221221248
Bizerte,snowfall,1872,0.0,0.0,0.0,
Gabes,soil_temperature_7_to_28cm,1872,0.0,0.0,3.8368053920659095,0.0
Gabes,soil_temperature_28_to_100cm,1872,0.0,0.0,3.624207586685239,0.0
Gabes,soil_moisture_28_to_100cm,1872,0.0,0.0,0.0018804476942754413,0.0
Gabes,soil_moisture_7_to_28cm,1872,0.0,0.0,0.0037492423719340915,0.0
Gabes,soil_moisture_0_to_7cm,1872,0.0,0.0,0.015015001526279971,0.0
Gabes,soil_temperature_0_to_7cm,1872,0.0,0.0,6.57530557021444,0.0
Gabes,terrestrial_radiation,1872,0.00977564102564004,0.18253205128205222,502.8951702072507,0.00036296242655666785
Gabes,rain,1872,-0.0009700889248181083,0.0009700889248181083,0.1076973325400192,0.00900754830169664
Gabes,precipitation,1872,-0.0009700889248181083,0.0009700889248181083,0.1076973325400192,0.00900754830169664
Gabes,shortwave_radiation,1872,7.005658852061439,15.416329830234439,351.3936415254644,0.04387196581961278
Gabes,pressure_msl,1872,-0.20654810024252176,0.2846402586903794,3.976440483567993,0.07158167206742058
Gabes,et0_fao_evapotranspiration,1872,-0.015214227970897333,0.025367825383993535,0.25267660855223295,0.1003964139353625
